Kota Inflasi,01/01/2015,01/02/2015,01/03/2015,01/04/2015,01/05/2015,01/06/2015,01/07/2015,01/08/2015,01/09/2015,01/10/2015,01/11/2015,01/12/2015
KOTA MEULABOH,-0.03,0.12,0.22,0.19,0.25,0.30,0.37,0.59,1.05,1.05,1.02,1.02
KOTA BANDA ACEH,0.00,0.93,0.93,0.94,1.04,1.10,1.10,5.03,5.23,5.23,5.25,5.32
KOTA LHOKSEUMAWE,0.10,0.16,0.24,0.24,0.24,0.64,1.77,3.37,3.41,3.41,3.41,3.38
KOTA SIBOLGA,1.57,2.17,2.20,2.14,2.14,2.13,2.67,2.89,3.01,3.19,3.27,3.57
KOTA PEMATANG SIANTAR,0.10,1.02,1.02,1.03,1.06,1.07,1.37,1.42,1.47,2.44,2.44,2.62
KOTA MEDAN,0.07,0.08,0.11,0.14,0.15,0.15,1.76,4.04,6.51,6.72,6.76,6.77
KOTA PADANGSIDIMPUAN,0.05,0.05,0.05,0.19,0.24,0.25,3.50,3.83,3.87,3.87,4.07,4.19
KOTA PADANG,0.02,1.20,1.25,1.31,1.68,1.68,1.70,8.00,9.07,9.12,9.32,9.35
KOTA BUKITTINGGI,0.04,0.05,0.11,0.23,0.24,0.19,1.94,4.43,5.82,5.91,5.97,5.94
TEMBILAHAN,0.06,0.65,0.65,0.63,0.65,0.67,0.81,4.23,4.21,4.33,4.41,4.88
KOTA PEKANBARU,0.06,0.38,0.38,0.30,0.32,0.87,0.91,1.14,1.53,1.50,1.45,1.75
KOTA DUMAI,0.08,0.39,0.39,0.39,0.88,1.49,5.21,6.29,7.16,7.46,7.52,7.89
BUNGO,-0.40,0.74,0.73,0.82,0.86,1.95,2.54,2.54,2.51,2.75,2.75,2.87
KOTA JAMBI,0.10,0.07,0.11,0.20,0.14,0.28,0.30,3.34,3.51,3.66,3.71,3.62
KOTA PALEMBANG,0.18,0.60,0.60,0.70,0.74,1.01,1.10,1.28,2.58,2.63,3.03,3.45
KOTA LUBUKLINGGAU,0.33,1.42,1.46,1.72,1.77,1.77,2.61,3.61,4.19,4.18,4.18,4.15
KOTA BENGKULU,0.40,0.61,0.74,0.73,0.84,1.22,1.89,10.00,10.59,10.72,11.42,11.38
KOTA BANDAR LAMPUNG,0.19,0.15,0.46,0.60,0.52,0.59,0.92,1.20,1.43,5.42,5.45,5.49
KOTA METRO,0.01,-0.01,0.06,0.11,0.13,0.27,0.52,1.78,2.29,2.30,2.32,2.33
TANJUNG PANDAN,0.43,0.43,0.12,0.12,0.47,0.27,0.37,7.16,7.32,7.55,7.55,8.07
KOTA PANGKAL PINANG,0.06,0.30,0.30,0.31,0.31,0.43,0.43,4.48,8.58,8.71,8.70,8.62
KOTA BATAM,0.25,0.69,0.66,0.72,0.60,0.58,1.12,3.18,3.26,3.26,3.19,3.15
KOTA TANJUNG PINANG,0.38,0.79,0.79,0.83,0.83,0.83,1.05,1.38,1.48,1.48,1.48,1.48
DKI JAKARTA,0.02,0.02,0.09,0.09,0.11,0.13,0.26,2.88,4.01,4.00,4.01,4.01
KOTA BOGOR,0.02,0.06,0.07,0.08,0.11,0.12,0.15,2.01,2.17,2.17,2.17,2.17
KOTA SUKABUMI,0.22,0.24,0.60,0.60,0.72,0.74,0.74,1.07,1.28,1.28,1.46,1.45
KOTA BANDUNG,0.55,0.57,0.79,0.80,0.82,1.02,1.04,1.39,2.51,2.52,2.66,2.87
KOTA CIREBON,0.00,0.04,0.04,0.04,0.04,0.04,0.04,-1.76,-1.76,-1.76,-1.76,-1.76
KOTA BEKASI,-0.03,-0.40,-0.35,-0.35,-0.34,-0.34,-0.32,-0.27,-0.28,-0.28,-0.29,-0.29
KOTA DEPOK,-0.03,-0.03,-0.02,0.01,0.17,0.10,0.10,0.60,0.77,0.79,0.80,0.79
KOTA TASIKMALAYA,0.53,0.52,0.61,0.62,0.64,0.65,2.09,3.64,5.76,5.96,5.94,6.04
CILACAP,0.40,1.07,1.12,1.17,0.96,1.00,2.16,2.94,2.98,3.01,3.73,3.89
PURWOKERTO,0.32,0.56,0.62,0.81,0.89,1.04,1.14,3.67,4.08,4.29,4.44,4.51
KUDUS,0.09,0.47,0.66,0.81,0.61,0.63,1.55,4.38,4.64,4.88,4.88,4.88
KOTA SURAKARTA,0.06,0.25,0.32,0.52,0.52,0.52,0.52,3.10,3.54,3.58,3.74,3.81
KOTA SEMARANG,0.05,0.11,0.24,0.24,0.32,0.35,0.62,2.46,4.34,4.53,4.55,4.55
KOTA TEGAL,0.17,0.26,0.34,0.35,0.48,0.45,0.47,2.04,2.46,3.18,3.22,3.42
KOTA YOGYAKARTA,0.16,0.20,0.17,0.29,0.38,0.44,0.37,0.82,1.12,1.11,1.14,1.36
JEMBER,0.03,0.03,0.08,0.13,-0.10,-0.10,-0.08,2.95,4.25,4.13,4.09,3.02
BANYUWANGI,2.25,2.14,2.13,2.12,2.21,2.49,2.49,4.36,4.36,4.44,4.51,4.50
SUMENEP,-0.06,-0.13,-0.19,-0.04,-0.04,-0.12,-0.05,0.50,1.19,2.19,2.02,1.87
KOTA KEDIRI,0.24,0.36,0.47,1.18,1.17,1.15,1.05,1.82,2.13,2.31,2.29,2.33
KOTA MALANG,0.14,0.25,0.37,0.69,1.38,1.56,1.73,4.82,8.66,8.71,8.87,8.87
KOTA PROBOLINGGO,0.19,0.11,0.63,0.65,0.79,0.79,0.95,1.71,2.97,3.08,3.07,3.02
KOTA MADIUN,0.06,0.08,0.11,0.11,0.14,0.22,0.55,1.41,2.74,2.81,3.01,3.04
KOTA SURABAYA,0.07,0.20,0.50,0.56,0.79,0.87,0.95,2.69,3.70,3.63,3.67,3.81
KOTA TANGERANG,1.04,1.84,1.87,2.18,2.11,2.14,2.33,4.09,4.81,4.99,5.05,5.19
KOTA CILEGON,2.02,2.08,2.36,2.52,2.68,2.68,3.34,7.08,8.25,9.14,9.12,9.36
KOTA SERANG,0.43,0.52,0.69,0.71,0.88,0.93,1.03,7.11,7.15,7.19,7.19,7.20
SINGARAJA,0.61,0.55,0.41,0.41,0.41,0.45,0.45,1.78,3.05,3.06,3.00,3.29
KOTA DENPASAR,0.14,0.24,0.31,0.31,0.37,0.40,1.95,3.69,4.13,4.17,4.20,4.23
KOTA MATARAM,0.28,0.58,0.59,0.59,0.91,0.91,0.96,8.47,8.79,8.87,8.85,8.88
KOTA BIMA,0.07,0.08,0.31,0.39,0.54,0.53,1.80,7.49,7.49,9.50,9.51,9.43
MAUMERE,8.88,8.87,8.85,8.86,9.06,9.17,14.11,15.74,15.44,15.44,15.62,15.61
KOTA KUPANG,0.21,0.54,1.11,1.28,1.45,1.39,3.10,3.66,3.95,4.23,4.19,4.36
DILI,0.15,0.28,0.44,0.45,0.65,0.93,0.76,2.96,3.04,3.13,3.15,3.15
KOTA PONTIANAK,0.08,0.08,0.08,0.13,0.21,0.81,0.81,3.41,3.54,3.67,3.66,3.70
KOTA SINGKAWANG,0.09,0.50,0.60,0.70,1.38,1.58,1.67,6.80,6.83,7.12,7.13,7.29
SAMPIT,-0.10,0.04,0.00,0.08,0.14,0.21,0.78,1.10,1.85,1.88,1.88,1.99
KOTA PALANGKA RAYA,0.09,2.25,2.62,2.66,2.66,2.70,9.34,10.34,10.73,10.74,10.90,10.97
TANJUNG,-0.16,-0.12,0.10,0.13,0.18,0.02,-0.07,0.50,2.50,3.12,3.12,3.17
KOTA BANJARMASIN,3.17,3.31,3.27,3.27,3.26,3.28,5.34,5.60,5.69,5.78,6.03,6.11
KOTA BALIKPAPAN,0.37,0.60,0.70,0.72,0.81,1.18,2.67,3.10,3.34,4.35,4.39,4.56
KOTA SAMARINDA,0.00,0.26,0.42,0.42,0.43,0.43,3.59,3.84,3.84,3.82,3.87,3.92
KOTA TARAKAN,0.05,0.05,0.37,0.44,0.45,0.72,0.93,3.28,3.28,3.31,3.42,3.78
KOTA MANADO,-0.07,0.02,0.05,0.29,0.29,0.32,0.48,3.72,7.12,7.15,7.15,7.15
KOTA PALU,0.27,0.34,0.09,0.54,0.54,0.68,0.78,2.54,2.57,2.57,2.57,2.61
BULUKUMBA,0.03,0.03,0.33,0.41,0.41,0.41,0.43,0.48,0.60,0.60,0.75,0.75
WATAMPONE,0.06,0.17,0.25,0.39,0.49,0.50,0.55,1.72,2.61,2.61,2.61,2.61
KOTA MAKASSAR,1.95,1.96,2.04,2.04,2.04,2.04,2.02,2.41,4.24,4.38,4.49,4.58
KOTA PARE-PARE,0.06,1.35,1.38,1.41,1.52,1.52,1.52,1.53,1.53,1.53,1.55,1.55
KOTA PALOPO,-1.24,-0.64,-0.60,-0.68,-0.58,-0.24,-0.16,0.04,1.77,1.76,1.74,1.71
KOTA KENDARI,0.13,0.33,0.33,0.33,0.36,0.41,0.70,2.03,2.09,2.08,2.09,2.09
KOTA BAU-BAU,1.27,1.30,1.30,1.29,1.31,1.31,2.29,2.37,2.44,2.79,2.92,2.99
KOTA GORONTALO,0.92,0.86,1.15,1.31,1.42,1.52,3.42,3.49,3.53,3.57,3.57,3.57
