Kota Inflasi,01/01/2015,01/02/2015,01/03/2015,01/04/2015,01/05/2015,01/06/2015,01/07/2015,01/08/2015,01/09/2015,01/10/2015,01/11/2015,01/12/2015
KOTA MEULABOH,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.14,0.26,0.26,0.26,0.26
KOTA BANDA ACEH,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.32,6.32,6.32,6.32,6.32
KOTA LHOKSEUMAWE,0.00,0.00,0.00,0.00,0.00,0.00,1.76,4.40,4.40,4.40,4.40,4.40
KOTA SIBOLGA,1.18,1.94,1.94,1.94,1.94,1.94,1.94,2.38,2.38,2.38,2.38,2.38
KOTA PEMATANG SIANTAR,0.00,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61
KOTA MEDAN,0.00,0.00,0.00,0.00,0.00,0.00,2.27,6.08,10.40,10.44,10.48,10.51
KOTA PADANGSIDIMPUAN,0.00,0.00,0.00,0.00,0.00,0.00,6.89,7.50,7.50,7.50,7.50,7.50
KOTA PADANG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.38,12.07,12.07,12.07,12.07
KOTA BUKITTINGGI,0.00,0.00,0.00,0.00,0.00,0.00,3.27,7.10,9.50,9.50,9.50,9.50
TEMBILAHAN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.60,4.60,4.60,4.60,5.32
KOTA PEKANBARU,0.04,0.04,0.04,0.04,0.04,0.04,0.25,0.60,0.93,0.93,0.93,1.27
KOTA DUMAI,0.00,0.00,0.00,0.00,0.00,0.00,7.32,9.20,10.98,11.60,11.60,13.27
BUNGO,0.00,0.84,0.84,0.84,0.84,0.84,1.92,1.92,2.21,2.21,2.21,2.21
KOTA JAMBI,0.00,0.00,0.00,0.00,0.00,0.00,0.06,3.63,3.63,3.63,3.63,3.63
KOTA PALEMBANG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
