Kota Inflasi,01/01/2016,01/02/2016,01/03/2016,01/04/2016,01/05/2016,01/06/2016,01/07/2016,01/08/2016,01/09/2016,01/10/2016,01/11/2016,01/12/2016
KOTA MEULABOH,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KOTA BANDA ACEH,3.39,3.39,3.39,3.39,3.39,3.39,3.39,3.39,3.39,3.39,3.39,3.39
KOTA LHOKSEUMAWE,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14
KOTA SIBOLGA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,7.57,7.57,7.57,7.57
KOTA PEMATANG SIANTAR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KOTA MEDAN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KOTA PADANGSIDIMPUAN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KOTA PADANG,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.96,0.96,0.96,0.96,0.96
KOTA BUKITTINGGI,0.00,0.00,0.00,0.00,0.00,0.00,3.96,3.96,3.96,3.96,3.96,3.96
TEMBILAHAN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KOTA PEKANBARU,0.00,0.00,0.00,0.00,0.00,0.59,8.29,8.33,8.33,8.33,12.69,12.69
KOTA DUMAI,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BUNGO,8.38,8.38,8.38,8.38,8.38,10.29,10.29,10.29,10.29,10.29,10.29,10.29
KOTA JAMBI,2.38,2.38,2.38,2.38,2.38,2.74,27.56,27.70,27.70,27.70,27.70,28.09
KOTA PALEMBANG,0.00,0.00,0.00,0.00,0.00,0.00,4.68,4.68,4.68,4.68,4.68,4.68
KOTA LUBUKLINGGAU,0.00,0.00,0.00,0.00,0.00,0.00,14.74,14.74,14.74,14.74,14.74,14.74
KOTA BENGKULU,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.09,4.09,4.09,8.60,8.60
KOTA BANDAR LAMPUNG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KOTA METRO,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.53,8.53,8.53
TANJUNG PANDAN,0.00,0.00,0.00,0.00,0.00,0.00,0.63,0.63,0.63,0.63,0.63,0.63
KOTA PANGKAL PINANG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.42,2.42,2.42,2.42,2.42
KOTA BATAM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KOTA TANJUNG PINANG,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58
DKI JAKARTA,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66
KOTA BOGOR,0.00,0.00,0.00,0.00,0.00,0.48,0.48,0.48,0.48,0.48,1.10,1.10
KOTA SUKABUMI,0.00,0.00,0.00,0.00,0.00,0.00,6.76,6.76,6.76,6.76,6.76,6.76
KOTA BANDUNG,0.00,0.00,0.00,0.00,0.00,0.00,4.89,4.89,4.89,4.89,4.89,4.89
KOTA CIREBON,0.00,0.00,0.00,0.00,0.00,0.00,1.48,1.48,1.48,1.48,1.48,1.48
KOTA BEKASI,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KOTA DEPOK,0.00,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,1.11,1.11,1.11
KOTA TASIKMALAYA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.32,1.32,1.32,1.32,1.32
CILACAP,0.00,0.70,0.70,0.70,0.70,0.70,0.70,1.02,1.02,1.02,1.02,1.02
PURWOKERTO,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KUDUS,0.00,0.00,0.00,0.00,0.00,0.00,8.52,11.72,11.72,11.72,11.72,11.72
KOTA SURAKARTA,0.00,0.00,0.00,2.27,2.27,2.27,2.27,2.27,2.27,2.27,2.27,2.98
KOTA SEMARANG,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46
KOTA TEGAL,0.00,0.00,0.00,2.96,2.96,2.96,2.96,2.96,2.96,2.96,2.96,2.96
KOTA YOGYAKARTA,0.22,0.22,0.22,1.18,1.28,1.28,1.28,1.91,2.48,4.37,4.37,5.02
JEMBER,0.00,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,2.97,2.97
BANYUWANGI,0.00,0.00,0.00,0.00,0.00,0.00,10.93,10.93,10.93,10.93,10.93,10.93
SUMENEP,2.91,2.91,2.91,2.91,2.91,2.91,2.91,2.91,2.91,2.91,2.91,2.91
KOTA KEDIRI,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.24,2.25,2.52,2.85,3.49
KOTA MALANG,0.41,0.41,0.41,0.57,0.57,2.38,3.01,3.35,3.76,3.76,3.76,3.76
KOTA PROBOLINGGO,0.00,0.00,0.00,0.00,0.00,0.00,9.37,9.37,9.37,9.37,9.37,9.37
KOTA MADIUN,0.00,0.00,0.00,0.00,0.00,0.00,1.44,1.44,2.09,2.09,2.09,2.09
KOTA SURABAYA,0.00,0.00,0.33,0.33,3.37,3.37,3.84,4.43,8.15,8.39,8.39,8.39
KOTA TANGERANG,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.46,1.46
KOTA CILEGON,10.49,10.49,11.14,11.14,11.14,11.35,11.35,11.35,11.35,11.35,11.35,34.60
KOTA SERANG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.41,5.41,5.41,5.41,5.41
SINGARAJA,0.00,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38
KOTA DENPASAR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KOTA MATARAM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.97,1.52,1.52,1.77,1.77
KOTA BIMA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.65,13.45,13.45,15.66,15.66
MAUMERE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KOTA KUPANG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
DILI,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KOTA PONTIANAK,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KOTA SINGKAWANG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SAMPIT,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.83,0.83,17.40,17.40
KOTA PALANGKA RAYA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TANJUNG,0.00,2.36,2.36,2.36,2.36,2.36,2.36,2.36,2.36,2.36,2.87,2.87
KOTA BANJARMASIN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.33,0.33,0.33,0.33
KOTA BALIKPAPAN,1.72,2.18,2.28,2.28,12.75,12.75,12.75,13.32,13.72,13.72,13.72,13.72
KOTA SAMARINDA,2.19,2.19,2.43,2.43,2.43,2.43,2.43,2.43,2.43,2.43,2.43,2.43
KOTA TARAKAN,0.00,0.00,0.00,0.00,0.00,0.64,0.64,0.64,0.64,0.64,0.64,0.64
KOTA MANADO,0.00,0.00,0.00,0.00,0.00,0.51,0.51,0.51,0.51,0.51,0.51,0.51
KOTA PALU,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BULUKUMBA,0.00,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
WATAMPONE,0.00,0.90,1.24,1.24,1.24,1.24,1.24,1.24,3.17,4.93,4.93,4.93
KOTA MAKASSAR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KOTA PARE-PARE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.25,0.25,0.50,0.50
KOTA PALOPO,0.00,8.11,8.11,11.51,11.51,11.51,11.51,15.41,15.41,15.41,15.41,15.41
KOTA KENDARI,0.00,0.00,1.51,1.51,1.51,1.51,1.51,1.51,1.51,2.65,2.65,2.65
KOTA BAU-BAU,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.80
KOTA GORONTALO,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MAMUJU,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KOTA AMBON,0.00,0.00,0.00,0.00,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98
KOTA TUAL,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,1.90,1.90,2.59
KOTA TERNATE,0.00,0.00,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68
MANOKWARI,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KOTA SORONG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.62,18.62,18.62,18.62,18.62
MERAUKE,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.09,0.09,0.09,0.09,0.09
KOTA JAYAPURA,0.64,0.81,0.85,0.93,1.25,1.32,2.40,2.72,3.04,3.15,3.39,3.73
