Kota Inflasi,01/01/2016,01/02/2016,01/03/2016,01/04/2016,01/05/2016,01/06/2016,01/07/2016,01/08/2016,01/09/2016,01/10/2016,01/11/2016,01/12/2016
KOTA MEULABOH,0.00,0.10,3.25,3.25,3.05,3.16,3.84,3.42,3.51,3.65,3.65,3.70
KOTA BANDA ACEH,0.00,0.67,0.67,0.67,-0.02,0.98,0.98,0.98,0.85,0.85,0.85,0.85
KOTA LHOKSEUMAWE,0.00,0.00,0.32,0.32,0.85,0.85,0.85,0.85,0.85,0.83,0.83,0.83
KOTA SIBOLGA,0.00,0.99,0.99,0.99,0.99,0.99,0.99,2.41,2.41,2.41,1.09,1.09
KOTA PEMATANG SIANTAR,0.11,0.11,0.11,0.11,1.07,-0.03,-0.03,1.28,2.26,3.12,3.38,3.38
KOTA MEDAN,0.33,1.44,1.34,1.27,1.27,1.50,1.86,0.89,1.13,1.15,0.96,0.98
KOTA PADANGSIDIMPUAN,0.00,0.36,0.36,0.36,0.36,0.36,1.28,1.39,1.39,1.39,1.39,1.39
KOTA PADANG,0.00,-0.74,-0.74,-0.74,-0.74,-0.74,-0.74,0.04,0.04,0.04,0.04,-1.20
KOTA BUKITTINGGI,0.00,0.00,0.00,0.03,0.03,0.03,0.45,0.45,0.34,0.34,0.33,0.34
TEMBILAHAN,0.00,0.00,0.00,0.00,0.00,0.46,5.28,6.79,6.79,6.79,6.84,6.27
KOTA PEKANBARU,0.37,-0.28,-0.74,-1.21,-1.34,-1.74,-2.43,-2.66,-2.33,-2.35,-2.34,-2.27
KOTA DUMAI,0.21,0.14,0.14,0.16,0.16,2.79,3.14,3.14,3.29,3.29,3.55,3.55
BUNGO,0.00,-0.66,-0.66,-0.66,-0.63,-0.63,-1.56,-1.56,-0.75,-0.75,-0.75,-1.02
KOTA JAMBI,2.17,1.07,1.08,1.17,0.47,2.16,3.43,3.46,2.80,3.24,4.86,6.11
KOTA PALEMBANG,0.08,0.37,0.45,0.65,1.75,2.64,3.74,3.74,3.74,3.84,4.28,4.45
KOTA LUBUKLINGGAU,-0.74,-0.36,-0.20,-0.40,-0.40,-0.40,0.30,0.30,0.34,0.52,0.06,-0.02
KOTA BENGKULU,0.62,3.14,3.14,3.27,3.04,3.04,3.04,4.35,4.43,4.32,4.32,4.32
KOTA BANDAR LAMPUNG,0.00,0.00,2.69,2.69,2.69,2.69,1.65,1.65,1.65,1.65,1.65,1.71
KOTA METRO,0.00,-0.12,0.95,0.95,0.95,1.72,1.72,1.72,1.72,1.72,1.91,1.91
TANJUNG PANDAN,-0.08,-0.08,-0.10,-0.19,-0.38,-0.38,0.96,0.91,0.94,1.01,1.01,0.96
KOTA PANGKAL PINANG,0.47,0.68,0.98,4.26,4.26,4.51,4.51,5.16,6.02,6.47,7.33,7.13
KOTA BATAM,0.36,1.43,1.43,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,4.68
KOTA TANJUNG PINANG,0.00,0.89,0.89,0.89,0.89,0.89,0.35,0.56,0.51,0.51,1.21,1.78
DKI JAKARTA,0.00,0.00,0.16,0.19,0.19,0.19,0.30,0.30,0.30,0.49,0.66,0.67
KOTA BOGOR,0.00,0.00,0.23,0.30,0.44,0.86,0.93,1.29,1.38,1.24,2.70,4.20
KOTA SUKABUMI,0.00,0.00,0.00,0.00,0.00,0.00,0.37,0.75,0.75,0.82,0.82,0.82
KOTA BANDUNG,1.08,1.08,1.08,1.08,1.08,-5.01,-3.68,-3.68,-3.79,-3.72,-3.71,-3.71
KOTA CIREBON,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KOTA BEKASI,0.00,-0.04,0.07,0.07,0.07,0.32,0.42,0.33,0.32,0.37,0.34,0.34
KOTA DEPOK,5.86,5.86,5.86,5.86,5.86,5.86,6.88,7.03,7.03,7.03,7.03,7.03
KOTA TASIKMALAYA,0.13,0.13,0.11,0.07,-0.22,-0.22,0.18,0.49,0.43,0.40,-0.75,0.32
CILACAP,0.10,-0.14,-0.16,-0.16,-0.14,-0.14,-0.14,-0.10,-0.10,-0.10,0.44,0.69
PURWOKERTO,-0.60,0.05,0.13,-0.93,-0.93,-0.91,-0.91,-3.61,-3.61,-2.44,-2.41,-2.16
KUDUS,0.00,0.02,0.02,0.02,0.02,2.53,3.36,3.44,3.44,3.44,3.44,1.04
KOTA SURAKARTA,0.00,-0.23,-0.20,-0.20,0.05,1.00,1.00,1.06,1.06,1.06,1.06,0.35
KOTA SEMARANG,0.57,0.94,1.22,1.22,1.22,1.22,1.37,1.57,1.38,1.38,1.38,1.38
KOTA TEGAL,1.49,2.38,2.30,3.88,3.88,3.88,4.33,4.35,4.34,4.11,4.11,4.11
KOTA YOGYAKARTA,0.12,-0.03,-0.09,0.14,0.13,0.20,0.25,0.35,-0.11,-0.73,-1.09,-1.80
JEMBER,2.02,2.35,2.35,2.35,2.25,1.33,1.55,1.55,1.55,1.81,1.81,1.80
BANYUWANGI,0.02,0.02,-0.39,-0.39,-1.34,-1.33,-1.45,-1.30,-1.70,-1.95,-1.55,-1.55
SUMENEP,0.06,-0.21,0.30,1.40,1.40,2.02,0.35,0.35,-0.35,-0.35,-0.18,-0.18
KOTA KEDIRI,-1.17,-1.14,-0.90,-0.81,-0.97,-0.52,-0.62,-0.39,-0.91,-0.86,-0.84,-0.86
KOTA MALANG,0.36,0.36,0.79,0.80,0.92,0.95,1.56,2.38,2.39,2.54,2.54,2.58
KOTA PROBOLINGGO,0.00,-0.13,-0.93,3.81,3.81,3.81,5.00,5.01,5.01,5.01,5.01,5.01
KOTA MADIUN,0.74,0.87,0.96,0.96,1.13,1.13,1.95,1.95,1.95,1.95,1.95,2.24
KOTA SURABAYA,0.12,0.85,0.73,-0.01,-0.02,0.56,2.62,3.09,3.22,3.66,3.84,3.88
KOTA TANGERANG,0.00,0.00,0.15,0.20,0.20,0.20,-1.15,-1.15,-1.15,-1.16,-2.08,-2.34
KOTA CILEGON,0.00,0.00,1.05,1.06,1.65,3.05,5.18,5.21,5.51,5.46,5.34,6.27
KOTA SERANG,0.01,0.06,0.00,-0.01,-0.02,-0.02,0.05,0.09,0.10,-0.15,1.38,1.29
SINGARAJA,2.26,2.26,4.59,4.59,4.59,4.59,5.95,5.95,5.89,5.89,5.89,5.89
KOTA DENPASAR,-0.13,-0.08,2.15,2.15,2.83,2.96,2.76,2.76,0.82,2.28,2.28,2.28
KOTA MATARAM,0.00,0.00,0.19,0.19,0.75,1.26,2.39,2.51,2.41,3.09,3.17,3.44
KOTA BIMA,-0.19,0.73,0.69,0.69,0.71,0.94,1.33,2.46,2.59,2.53,2.84,2.92
MAUMERE,0.00,0.00,-0.34,-0.11,-0.11,-0.40,-0.40,-0.94,-0.94,-0.94,-1.40,-1.40
KOTA KUPANG,0.29,-0.11,-1.29,-1.41,-1.51,-1.65,-1.65,-1.08,-1.18,-0.55,-0.46,-0.43
DILI,0.41,0.51,0.71,0.71,0.71,0.71,3.23,3.65,3.65,5.72,5.01,5.01
KOTA PONTIANAK,0.27,1.32,1.51,1.41,1.45,0.56,-1.69,-1.89,-1.89,-1.89,-1.94,-0.91
KOTA SINGKAWANG,0.14,0.14,0.32,2.50,2.50,2.49,0.63,0.66,0.27,0.66,0.80,0.96
SAMPIT,0.01,0.92,1.19,1.43,1.43,1.05,0.43,0.43,1.20,1.33,1.24,1.24
KOTA PALANGKA RAYA,0.00,0.00,0.00,0.00,0.00,0.45,0.45,0.45,0.45,0.45,0.45,0.45
TANJUNG,0.00,-0.38,1.16,1.70,2.44,1.04,0.12,0.12,4.25,3.95,3.87,3.99
KOTA BANJARMASIN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.38,0.38,0.35,0.40,0.40
KOTA BALIKPAPAN,0.73,1.07,1.47,1.75,1.46,1.79,2.39,2.69,2.65,2.65,2.33,2.40
KOTA SAMARINDA,0.00,0.00,0.00,0.00,0.00,1.49,1.49,3.00,3.00,3.00,3.00,3.00
KOTA TARAKAN,0.00,0.56,0.56,0.56,0.56,0.56,0.55,0.55,0.67,1.43,1.78,2.87
KOTA MANADO,0.00,0.24,0.24,0.60,0.78,0.78,1.04,1.04,1.04,1.04,0.90,1.12
KOTA PALU,-0.31,-0.31,-0.31,-0.30,0.37,0.53,0.69,0.69,0.20,-0.06,-0.34,-0.34
BULUKUMBA,0.00,0.00,0.00,0.00,0.00,0.00,0.67,0.67,0.90,0.90,0.90,0.40
WATAMPONE,0.01,0.01,0.10,0.10,0.10,0.10,0.11,0.11,0.11,0.11,0.11,0.11
KOTA MAKASSAR,0.00,0.00,0.00,0.00,0.00,0.00,0.86,0.86,0.86,0.86,0.86,0.86
KOTA PARE-PARE,0.00,0.21,0.21,0.21,0.21,0.88,0.70,0.60,0.57,0.51,0.61,0.48
KOTA PALOPO,0.27,-0.12,-0.13,-0.04,-0.04,-0.36,0.90,1.06,2.17,2.45,2.57,2.62
KOTA KENDARI,0.24,0.24,-0.75,-0.75,-0.79,-0.79,-0.13,0.07,-1.00,-0.83,-0.83,-0.83
KOTA BAU-BAU,0.12,0.12,0.12,0.19,0.19,0.33,0.33,3.75,3.75,3.86,3.64,3.59
KOTA GORONTALO,0.24,0.33,0.33,0.35,0.69,0.05,-0.33,-0.69,-0.70,-0.09,-0.09,0.71
MAMUJU,-0.03,-1.53,-2.41,-2.19,-0.10,-0.57,-0.68,-0.61,-0.42,-0.01,-1.65,-1.66
KOTA AMBON,-1.15,0.23,0.23,7.96,8.40,10.05,7.61,7.91,8.00,8.91,8.93,9.13
KOTA TUAL,0.71,1.08,1.53,1.59,1.48,1.48,1.48,1.48,1.48,0.84,0.65,1.15
KOTA TERNATE,-0.27,0.63,0.25,0.59,0.59,1.40,1.56,6.71,6.85,6.91,7.91,7.57
MANOKWARI,0.00,1.99,1.99,1.99,1.99,2.61,2.61,3.43,3.43,4.16,4.16,4.16
KOTA SORONG,-1.79,-1.90,-3.53,-3.53,-3.44,-3.44,-3.44,-2.56,-2.56,-1.81,-1.23,-1.23
MERAUKE,0.30,-0.01,0.26,0.26,0.26,0.33,0.39,0.95,0.95,0.96,0.83,0.51
KOTA JAYAPURA,0.40,0.54,0.72,0.75,0.81,0.63,0.94,1.03,1.07,1.21,1.24,1.35
