Kota,01/01/2021,01/02/2021,01/03/2021,01/04/2021,01/05/2021,01/06/2021,01/07/2021,01/08/2021,01/09/2021,01/10/2021,01/11/2021,01/12/2021
KOTA MEULABOH,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.40
KOTA BANDA ACEH,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.26,0.00,0.00,0.00,0.00
KOTA LHOKSEUMAWE,1.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KOTA SIBOLGA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KOTA PEMATANG SIANTAR,0.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KOTA MEDAN,0.00,0.00,0.00,0.00,1.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KOTA PADANGSIDIMPUAN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KOTA GUNUNGSITOLI,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KOTA PADANG,0.00,0.00,0.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KOTA BUKITTINGGI,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TEMBILAHAN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KOTA PEKANBARU,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KOTA DUMAI,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BUNGO,0.00,0.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KOTA JAMBI,0.00,0.00,0.00,0.00,0.00,0.00,2.30,0.00,0.00,0.00,0.00,0.00
KOTA PALEMBANG,2.20,0.00,0.00,0.00,0.00,3.64,2.68,0.00,0.00,0.00,0.00,0.00
KOTA LUBUKLINGGAU,1.81,0.00,0.00,0.00,0.00,0.00,1.40,0.00,0.00,0.00,0.00,0.00
KOTA BENGKULU,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.42,0.00
KOTA BANDAR LAMPUNG,14.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KOTA METRO,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.79,0.00,0.00,0.00,0.00
TANJUNG PANDAN,0.00,0.00,5.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KOTA PANGKAL PINANG,-4.67,0.00,0.00,0.00,0.00,0.00,2.26,2.58,0.00,0.00,0.00,0.00
KOTA BATAM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KOTA TANJUNG PINANG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.00,0.00,0.00
DKI JAKARTA,0.00,0.00,0.00,1.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KOTA BOGOR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KOTA SUKABUMI,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KOTA BANDUNG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.83,0.00,0.00,0.00,0.00
KOTA CIREBON,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KOTA BEKASI,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.05
