Kota,01/01/2021,01/02/2021,01/03/2021,01/04/2021,01/05/2021,01/06/2021,01/07/2021,01/08/2021,01/09/2021,01/10/2021,01/11/2021,01/12/2021
KOTA MEULABOH,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.14
KOTA BANDA ACEH,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.16,0.00,0.00,0.00,0.00
KOTA LHOKSEUMAWE,0.35,0.61,0.00,0.00,0.00,0.00,0.47,0.00,0.00,0.00,0.00,0.00
KOTA SIBOLGA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KOTA PEMATANG SIANTAR,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KOTA MEDAN,0.00,0.00,0.00,0.00,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KOTA PADANGSIDIMPUAN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KOTA GUNUNGSITOLI,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KOTA PADANG,0.24,0.00,0.10,0.00,0.00,0.00,0.00,-0.53,0.00,0.00,0.00,0.00
KOTA BUKITTINGGI,0.00,0.00,0.00,0.85,0.00,0.00,0.05,0.00,-0.08,0.00,0.00,0.00
TEMBILAHAN,0.00,0.00,0.00,0.00,0.00,0.00,0.28,0.39,0.00,3.54,0.00,0.00
KOTA PEKANBARU,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.44,0.00,0.00,0.00,0.00
KOTA DUMAI,0.00,0.00,0.00,0.00,0.00,0.00,2.11,1.25,0.00,0.00,0.00,0.00
BUNGO,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.39,0.00,0.00,0.00
KOTA JAMBI,0.00,0.00,0.00,0.00,0.00,0.00,0.31,0.00,0.01,0.00,0.00,0.00
KOTA PALEMBANG,0.39,0.00,0.00,0.00,0.00,0.64,0.97,0.00,0.00,0.00,0.00,0.00
KOTA LUBUKLINGGAU,0.23,0.00,0.00,0.00,0.00,0.00,0.67,0.00,0.00,0.00,0.00,0.00
KOTA BENGKULU,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.11,2.40,0.00,0.12,0.00
KOTA BANDAR LAMPUNG,1.53,0.00,0.00,0.00,0.00,0.00,0.00,-4.37,0.00,0.00,0.00,0.00
KOTA METRO,0.00,0.00,0.00,0.00,0.00,0.00,0.07,-0.15,0.00,0.00,0.00,0.00
TANJUNG PANDAN,0.00,0.00,1.02,0.00,0.00,0.00,0.15,0.64,0.00,0.00,0.00,0.00
